name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
current_burstiness__layer_10__all_context__per_variate,current_burstiness,10,all_context,per_variate,26.03005,-0.6774697,2.0877311
current_burstiness__layer_10__all_context__series_mean,current_burstiness,10,all_context,series_mean,-28.894138,-5.46042,1.1475964
current_burstiness__layer_10__final_context__per_variate,current_burstiness,10,final_context,per_variate,20.335487,1.0679115,3.8190746
current_burstiness__layer_10__final_context__series_mean,current_burstiness,10,final_context,series_mean,-32.253696,-4.1102443,2.3118098
current_burstiness__layer_10__first_decode__per_variate,current_burstiness,10,first_decode,per_variate,22.814539,0.40695736,2.4433758
current_burstiness__layer_10__first_decode__series_mean,current_burstiness,10,first_decode,series_mean,-29.007805,-3.8082607,0.29649737
current_burstiness__layer_11__all_context__per_variate,current_burstiness,11,all_context,per_variate,22.099546,-0.25973183,1.9862381
current_burstiness__layer_11__all_context__series_mean,current_burstiness,11,all_context,series_mean,-26.302805,-5.7726054,0.9797979
current_burstiness__layer_11__final_context__per_variate,current_burstiness,11,final_context,per_variate,17.507645,1.2641392,3.677148
current_burstiness__layer_11__final_context__series_mean,current_burstiness,11,final_context,series_mean,-29.001165,-4.5839176,2.1427302
current_burstiness__layer_11__first_decode__per_variate,current_burstiness,11,first_decode,per_variate,19.917885,0.7335918,2.353617
current_burstiness__layer_11__first_decode__series_mean,current_burstiness,11,first_decode,series_mean,-26.19101,-4.040792,0.1160337
